Ano,Trimestre,Categoria,Tipo,CNPJ,Instituição financeira,Índice,Quantidade de reclamações reguladas procedentes,Quantidade de reclamações reguladas - outras,Quantidade de reclamações não reguladas,Quantidade total de reclamações,quantidade_total_clientes_ccs_scr,quantidade_clientes_ccs,quantidade_clientes_scr,Unnamed: 14
2021,3º,Demais bancos e financeiras,Banco/financeira,9464032.0,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,22,102,52,176,10572319,286354,10523154,
2021,3º,Demais bancos e financeiras,Banco/financeira,4379829.0,"NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS", ,0,1,0,1,434448,677,433771,
2021,3º,Demais bancos e financeiras,Banco/financeira,74828799.0,NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO, ,5,29,0,34,99651,3135,96953,
2021,3º,Demais bancos e financeiras,Banco/financeira,3311443.0,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.","14.015,05",54,21,1,76,3853, ,3853,
2021,3º,Demais bancos e financeiras,Banco/financeira,43180355.0,"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","12,79",87,59,22,168,6798337,6588214,2507474,
2021,3º,Demais bancos e financeiras,Banco/financeira,1800019.0,"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO", ,19,32,17,68,225158,1,225157,
2021,3º,Demais bancos e financeiras,Banco/financeira,27351731.0,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.", ,10,39,21,70,4873514,51,4873489,
2021,3º,Demais bancos e financeiras,Banco/financeira,5503849.0,"SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,0,1,0,1,29858,1259,28602,
2021,3º,Demais bancos e financeiras,Banco/financeira,122327.0,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS", ,1,4,0,5,14007,592,13415,
2021,3º,Demais bancos e financeiras,Banco/financeira,3881423.0,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,1,3,7,11,2088,460,1628,
2021,3º,Demais bancos e financeiras,Banco/financeira,41498340.0,"TENTOS S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,1,0,0,1,129, ,129,
2021,3º,Demais bancos e financeiras,Banco/financeira,9473806.0,"TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,0,0,1,1,37627,11,37616,
2021,3º,Demais bancos e financeiras,Banco/financeira,5192316.0,"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS", ,2,3,1,6,405846,1385,404867,
2021,3º,Demais bancos e financeiras,Banco/financeira,23862762.0,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","18,99",35,43,33,111,1842985,1842425,391779,
2021,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,13140088.0,ACESSO SOLUÇÕES DE PAGAMENTO S.A.,"20,87",42,28,5,75,2011869,2011869, ,
2021,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,36321990.0,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,2,2,1,5,473823,130,473693,
2021,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,27214112.0,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,2,5,5,12,23421,13123,14355,
2021,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,19540550.0,ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A., ,0,3,1,4,249654,249654, ,
2021,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,3532415.0,BANCO ABN AMRO S.A., ,0,0,2,2,26,26,1,
